Downloaded from Ill state water survey; http://www.isws.illinois.edu/data/climatedb/choose.asp?stn=118740&msg=2
Year,Month,Precipitation,Mean
1970,Summer,10.96,73.0
1970,Fall,11.40,54.9
1971,1,1.03,22.9
1971,2,3.27,29.7
1971,3,1.46,37.1
1971,4,0.70,52.5
1971,5,3.84,60.1
1971,6,1.22,77.1
1971,7,10.96,71.9
1971,8,1.43,71.7
1971,9,4.77,69.9
1971,10,0.72,62.3
1971,11,1.59,43.3
1971,12,6.16,37.4
1971,Total,37.15,53.1
1971,Winter,5.31,28.6
1971,Spring,6.00,49.9
1971,Summer,13.61,73.5
1971,Fall,7.08,58.6
1972,1,0.98,24.5
1972,2,0.83,28.2
1972,3,3.28,38.6
1972,4,4.81,50.9
1972,5,1.40,65.5
1972,6,3.44,68.7
1972,7,2.58,74.0
1972,8,5.71,73.5
1972,9,8.69,67.2
1972,10,2.13,51.4
1972,11,4.17,38.6
1972,12,4.93,27.4
1972,Total,42.95,50.8
1972,Winter,7.97,29.8
1972,Spring,9.49,51.7
1972,Summer,11.73,72.1
1972,Fall,14.99,52.4
1973,1,1.11,29.9
1973,2,0.67,31.8
1973,3,6.55,48.4
1973,4,5.14,51.4
1973,5,3.23,59.8
1973,6,7.05,73.2
1973,7,9.21,76.2
1973,8,3.04,74.5
1973,9,3.01,68.7
1973,10,2.91,60.1
1973,11,2.47,44.7
1973,12,4.81,27.8
1973,Total,49.20,54.0
1973,Winter,6.71,29.8
1973,Spring,14.92,53.2
1973,Summer,19.30,74.6
1973,Fall,8.39,57.8
1974,1,3.08,27.5
1974,2,3.33,31.5
1974,3,3.86,42.9
1974,4,4.74,53.6
1974,5,6.31,60.6
1974,6,5.71,67.5
1974,7,1.47,77.1
1974,8,5.94,71.4
1974,9,1.52,61.2
1974,10,1.30,54.4
1974,11,3.78,41.7
1974,12,2.54,32.0
1974,Total,43.58,51.9
1974,Winter,11.22,28.8
1974,Spring,14.91,52.3
1974,Summer,13.12,72.0
1974,Fall,6.60,52.4
1975,1,4.64,30.5
1975,2,2.85,28.6
1975,3,2.59,36.5
1975,4,3.08,47.9
1975,5,3.85,65.8
1975,6,6.21,72.4
1975,7,4.90,73.5
1975,8,6.43,74.8
1975,9,2.97,62.2
1975,10,2.20,56.2
1975,11,3.32,46.9
1975,12,2.85,32.9
1975,Total,45.89,52.5
1975,Winter,10.03,30.4
1975,Spring,9.52,50.1
1975,Summer,17.54,73.6
1975,Fall,8.49,55.1
1976,1,1.31,22.5
1976,2,2.90,38.0
1976,3,3.82,45.4
1976,4,0.59,54.2
1976,5,4.56,59.3
1976,6,5.65,71.8
1976,7,4.17,74.2
1976,8,2.23,70.5
1976,9,3.80,63.8
1976,10,2.90,48.9
1976,11,0.57,34.2
1976,12,0.27,23.6
1976,Total,32.77,50.5
1976,Winter,7.06,30.7
1976,Spring,8.97,53.0
1976,Summer,12.05,72.2
1976,Fall,7.27,49.0
1977,1,1.31,10.7
1977,2,1.36,28.9
1977,3,5.83,45.1
1977,4,0.75,57.8
1977,5,3.58,70.8
1977,6,2.30,69.9
1977,7,3.03,76.9
1977,8,10.01,71.7
1977,9,4.83,67.9
1977,10,4.75,51.9
1977,11,2.52,42.2
1977,12,2.63,26.2
1977,Total,42.90,51.7
1977,Winter,2.94,20.9
1977,Spring,10.16,57.9
1977,Summer,15.34,72.8
1977,Fall,12.10,53.9
1978,1,1.34,16.2
1978,2,1.18,18.1
1978,3,3.68,33.7
1978,4,2.62,51.7
1978,5,4.38,60.5
1978,6,1.96,72.6
1978,7,5.53,73.8
1978,8,5.77,72.4
1978,9,1.83,70.7
1978,10,1.75,52.9
1978,11,2.62,43.5
1978,12,3.39,30.5
1978,Total,36.05,49.9
1978,Winter,5.15,20.3
1978,Spring,10.68,48.6
1978,Summer,13.26,72.9
1978,Fall,6.20,55.7
1979,1,2.86,13.3
1979,2,1.27,17.0
1979,3,4.87,39.0
1979,4,6.47,49.3
1979,5,1.47,61.4
1979,6,1.01,72.7
1979,7,8.44,72.5
1979,8,5.10,72.4
1979,9,0.54,66.5
1979,10,1.57,54.5
1979,11,2.71,40.8
1979,12,1.45,34.9
1979,Total,37.76,49.7
1979,Winter,7.52,20.4
1979,Spring,12.81,49.9
1979,Summer,14.55,72.5
1979,Fall,4.82,53.9
1980,1,0.78,26.7
1980,2,1.70,23.0
1980,3,4.29,35.9
1980,4,2.39,49.9
1980,5,3.76,64.5
1980,6,4.62,69.4
1980,7,1.36,78.6
1980,8,4.26,76.3
1980,9,3.34,67.3
1980,10,2.24,50.8
1980,11,1.63,41.5
1980,12,1.36,31.3
1980,Total,31.73,51.4
1980,Winter,3.91,28.5
1980,Spring,10.44,50.1
1980,Summer,10.24,74.8
1980,Fall,7.21,53.2
1981,1,0.64,24.5
1981,2,2.21,30.7
1981,3,0.76,40.8
1981,4,6.03,56.4
1981,5,5.83,58.6
1981,6,4.72,73.1
1981,7,6.81,73.7
1981,8,8.64,71.6
1981,9,3.82,64.6
1981,10,2.82,52.1
1981,11,1.27,43.4
1981,12,2.32,26.2
1981,Total,45.87,51.4
1981,Winter,4.21,28.8
1981,Spring,12.62,51.9
1981,Summer,20.17,72.8
1981,Fall,7.91,53.4
1982,1,5.79,15.7
1982,2,1.33,23.8
1982,3,3.18,38.7
1982,4,2.45,46.4
1982,5,6.49,68.4
1982,6,3.57,67.1
1982,7,4.96,75.3
1982,8,2.77,70.8
1982,9,1.48,65.3
1982,10,3.01,54.9
1982,11,4.34,41.9
1982,12,4.38,37.8
1982,Total,43.75,50.7
1982,Winter,9.44,21.8
1982,Spring,12.12,51.2
1982,Summer,11.30,71.1
1982,Fall,8.83,54.0
1983,1,0.74,28.9
1983,2,1.15,34.1
1983,3,3.55,40.4
1983,4,6.43,47.7
1983,5,5.56,58.6
1983,6,9.15,73.1
1983,7,1.40,79.3
1983,8,4.63,78.3
1983,9,0.83,67.7
1983,10,7.24,55.5
1983,11,4.61,44.0
1983,12,4.99,16.3
1983,Total,50.28,52.1
1983,Winter,6.27,33.6
1983,Spring,15.54,48.9
1983,Summer,15.18,77.0
1983,Fall,12.68,55.7
1984,1,0.72,21.0
1984,2,2.87,35.8
1984,3,4.85,31.5
1984,4,4.68,49.8
1984,5,5.65,59.2
1984,6,1.22,75.8
1984,7,4.66,72.8
1984,8,2.61,74.2
1984,9,3.00,64.2
1984,10,2.78,58.4
1984,11,3.64,39.6
1984,12,3.87,36.1
1984,Total,40.55,51.5
1984,Winter,8.58,24.1
1984,Spring,15.18,46.8
1984,Summer,8.49,74.2
1984,Fall,9.42,54.1
1985,1,0.67,18.3
1985,2,4.52,25.2
1985,3,5.02,44.1
1985,4,2.40,56.9
1985,5,3.45,65.4
1985,6,5.50,69.3
1985,7,4.26,73.5
1985,8,5.10,69.9
1985,9,0.71,66.0
1985,10,1.60,56.5
1985,11,10.08,42.5
1985,12,2.33,20.5
1985,Total,45.64,50.8
1985,Winter,9.23,26.8
1985,Spring,10.87,55.4
1985,Summer,14.86,70.9
1985,Fall,12.39,55.0
1986,1,0.06,27.5
1986,2,2.65,26.2
1986,3,1.02,43.3
1986,4,2.67,54.4
1986,5,2.72,64.1
1986,6,4.28,72.2
1986,7,4.70,77.0
1986,8,1.42,69.4
1986,9,7.90,69.6
1986,10,3.31,54.8
1986,11,2.94,37.1
1986,12,1.71,31.0
1986,Total,35.38,52.4
1986,Winter,5.04,24.7
1986,Spring,6.41,54.1
1986,Summer,10.40,72.9
1986,Fall,14.15,53.9
1987,1,1.90,24.0
1987,2,0.60,34.8
1987,3,1.18,44.2
1987,4,3.38,52.8
1987,5,3.16,69.1
1987,6,4.99,74.0
1987,7,7.84,75.7
1987,8,5.01,73.2
1987,9,2.01,67.1
1987,10,1.10,47.6
1987,11,4.80,44.4
1987,12,5.42,33.2
1987,Total,41.39,53.4
1987,Winter,4.21,29.8
1987,Spring,7.72,55.4
1987,Summer,17.84,74.3
1987,Fall,7.91,52.9
1988,1,2.16,23.8
1988,2,1.28,24.1
1988,3,2.51,39.5
