"x"
2.626
3.198
3.227
3.168
3.612
4.199
4.537
4.555
4.183
5.213
4.962
5.355
5.518
5.715
5.383
6.265
5.916
6.721
7.672
7.603
7.096
7.597
8.09
7.901
7.347
6.618
6.951
7.025
6.595
5.889
5.934
6.305
4.9
4.515
4.104
4.884
4.072
3.905
4.189
4.462
4.051
3.733
3.533
4.316
3.613
3.41
3.822
4.812
4.49
4.369
4.22
3.377
2.837
3.596
2.335
2.035
2.435
2.521
2.983
2.678
2.585
3.289
2.181
2.057
1.597
1.909
2.331
2.773
3.842
4.262
3.871
3.295
3.235
2.612
2.617
2.72
2.589
2.599
2.171
1.582
0.944
0.926
1.125
1.344
1.418
1.522
2.187
3.53
3.653
2.874
3.108
2.995
3.27
3.6
3.758
3.983
4.032
4.222
4.437
4.906
4.678
5.228
5.295
5.285
5.021
5.582
5.411
4.884
6.246
5.593
5.212
6.224
5.657
5.609
5.758
5.907
5.808
5.805
5.249
5.133
5.179
5.139
5.317
5.646
5.351
5.269
4.098
4.404
3.73
4.713
5.553
5.814
5.637
4.874
4.809
5.28
4.444
3.668
2.182
2.75
3.121
2.811
2.878
3.28
2.823
2.868
2.834
3.049
2.482
2.228
1.403
1.236
1.997
2.509
6.443
6.355
5.622
6.997
6.939
7.364
8.03
7.616
6.915
6.734
7.499
7.837
8.48
7.296
7.347
6.68
6.702
6.714
6.674
6.174
7.286
7.449
7.374
7.676
6.444
7.035
7.168
6.546
7.16
6.697
7.148
6.827
6.314
5.76
5.51
6.01
5.457
4.878
5.189
4.765
4.434
3.978
3.176
3.104
2.996
4.036
4.536
4.03
4.008
3.295
3.45
3.104
1.927
1.542
1.499
1.135
1.671
1.757
1.208
1.295
1.321
1.41
1.3
1.402
1.339
0.832
1.222
1.366
1.503
1.845
2.086
2.043
2.026
1.956
1.853
1.995
1.965
2.118
2.607
2.509
2.586
2.898
2.775
3.067
3.31
3.325
2.97
3.031
2.967
3.358
3.458
3.441
3.569
2.703
2.209
2.865
3.699
4.278
1.629
2.097
3.42
3.416
3.856
3.862
4.316
4.86
2.746
2.733
3.136
3.299
2.837
2.71
3.089
2.933
2.754
2.31
2.571
2.069
1.872
2.227
2.254
2.054
2.462
2.115
2.233
2.121
2.254
3.051
3.735
5.046
2.971
5.317
5.737
5.738
5.738
5.512
4.298
4.021
3.962
3.645
3.696
6.663
7.71
7.711
7.71
7.71
7.711
7.711
7.712
7.71
6.462
5.235
6.608
7.965
8.6
8.9
10.36
10.2
9.45
8.4
8.95
8.66
8.29
9.43
9.22
9.6
9.23
8.63
8.41
7.169
6.544
5.44
4.956
4.896
5.63
7.667
7.858
8.03
7.416
8.17
7.473
8
6.99
6.774
5.434
5.068
5.712
5.089
5.423
5.924
6.551
6.291
6.373
6.419
5.764
5.118
4.221
5.593
5.49
5.757
5.81
6.276
5.982
5.475
5.662
5.414
6.073
5.885
7.099
6.361
5.461
5.935
4.43
4.833
4.554
3.207
2.87
2.501
2.021
2.211
1.719
1.374
0.952
0.72
0.834
1.519
1.384
1.291
1.309
1.515
0.786
1.207
1.615
1.96
1.335
1.796
2.293
3.156
2.946
2.763
2.431
3.006
3.401
4.412
5.211
5.612
6.105
6.439
7.354
7.067
6.946
7.862
7.953
7.746
7.57
6.527
6.651
4.673
4.678
4.69
4.364
2.919
2.439
2.338
2.821
2.648
2.838
2.654
3.144
3.281
3.64
3.881
4.32
4.668
4.269
4.455
4.514
4.638
4.909
4.541
5.106
5.455
6.325
6.182
6.254
6.326
13.62
32.86
2.935
7.102
25.47
0.755
0.106
0.503
0.9
0.111
0.648
5.095
0.417
1.184
4.303
4.701
0.644
8.57
16.96
17.15
17.15
17.15
16
0.149
0.178
0.129
18.52
33.26
2.601
2.266
5.813
4.703
4.466
3.784
2.422
2.062
2.877
4.846
3.579
12.58
3.42
0.176
2.885
6.579
5.48
0.753
0.522
4.443
6.502
5.859
5.019
3.695
4.285
2.937
3.05
3.161
1.393
0.226
0.225
0.224
3.512
7.633
6.112
4.944
4.773
4.584
3.962
3.674
4.031
4.296
4.568
4.186
3.81
3.259
4.07
4.573
4.254
3.599
2.648
2.336
2.978
6.561
7.584
4.905
4.517
5.139
3.346
3.432
5.397
6.483
5.075
3.682
2.463
1.697
2.194
1.62
1.899
1.485
2.237
2.452
1.532
1.63
1.449
2.375
2.415
3.26
4.187
4.682
5.092
4.687
4.588
4.456
4.902
4.863
4.288
4.245
4.676
4.358
3.995
4.408
3.976
4.028
5.017
5.652
5.349
4.544
5.228
4.553
4.033
3.594
4.406
4.438
4.51
4.139
4.498
5.083
5.895
4.441
4.326
5.492
8.41
9.77
9.82
9.58
8.52
9.34
7.796
8.07
8.24
7.956
8.36
7.766
8.71
7.604
7.325
6.803
6.986
7.022
6.373
6.55
6.634
6.678
6.477
6.75
6.311
5.993
5.61
5.26
4.619
4.264
3.428
2.861
2.147
1.846
2
1.226
1.077
1.546
0.73
1.515
2.558
2.857
2.902
2.7
2.732
4.027
4.373
5.298
5.833
6.44
6.29
6.647
5.744
6.065
5.809
5.85
6.34
6.799
6.681
5.865
5.369
5.457
3.894
3.669
3.335
5.721
9.06
9.39
9.16
7.972
8.31
8.59
9.2
8.97
9.32
7.714
7.117
7.172
7.033
7.432
8.78
9.11
8.59
7.954
7.833
7.311
6.38
6.58
6.454
6.346
6.524
6.071
5.336
6.05
6.154
6.179
4.995
4.725
4.468
4.294
4.129
4.516
4.01
4.878
5.607
5.273
4.084
4.133
5.052
5.75
6.743
6.929
6.708
6.165
6.115
5.785
6.361
6.377
6.612
6.565
6.744
6.62
6.175
5.882
5.551
6.197
5.482
5.292
6.049
5.979
6.606
5.954
5.528
5.215
5.989
5.519
5.528
5.927
5.86
5.574
5.376
4.446
3.926
3.819
2.528
2.219
2.814
3.086
4.919
4.732
4.884
5.607
4.476
3.477
3.12
2.795
2.405
2.742
1.852
1.35
1.432
1.231
2.135
3.963
3.139
2.612
2.006
3.219
3.143
2.537
3.586
3.761
3.043
3.223
3.194
3.424
3.071
3.084
3.524
3.539
4.092
3.827
4.458
4.854
4.664
4.508
4.202
5.12
5.6
5.932
6.437
6.661
6.939
7.612
7.867
8.72
8.88
8.77
8.5
8.37
9.04
9.06
9
9.15
9.93
10.41
11.48
11.29
10.67
10.64
9.96
10.23
9.28
9.48
9.41
9.52
9.41
8.66
7.51
8.81
8.88
7.621
7.384
9.15
12.48
10.05
7.803
6.733
8.04
9.81
8.38
6.772
6.721
7.375
10.08
8.49
5.073
5.073
5.072
7.921
9.54
7.234
7
5.791
6.034
6.434
7.161
7.438
6.1
5.677
5.586
5.063
3.954
3.422
5.602
5.258
5.89
5.92
4.409
4.801
4.776
4.801
5.896
5.795
5.836
5.734
4.45
3.674
2.632
3.106
3.73
3.562
2.879
1.416
3.079
3.86
4.187
4.074
3.786
2.977
4.075
5.088
3.473
3.599
3.225
3.507
4.374
4.909
5.654
5.756
5.432
5.094
4.949
4.523
5.31
5.225
5.471
5.395
6.039
5.111
5.813
5.745
5.606
4.675
4.306
4.819
5.442
5.738
5.597
5.578
5.187
5.948
6.45
5.65
5.025
4.666
3.898
3.159
2.589
2.611
2.668
3.343
3.064
4.177
4.391
4.025
4.609
5.005
5.1
4.552
4.717
4.114
4.557
4.681
4.547
4.384
4.853
5.028
5.11
5.319
5.789
5.142
4.844
4.443
3.529
4.231
3.694
3.551
3.404
3.888
4.955
3.834
2.95
3.266
3.44
3.774
4.358
4.709
4.923
4.519
3.897
3.716
4.426
4.663
4.442
3.149
2.847
2.522
2.348
2.218
1.966
1.73
2.095
1.916
1.702
1.371
1.349
1.679
2.061
2.033
1.728
1.792
2.106
1.831
1.215
1.744
1.811
2.77
3.019
3.224
2.96
2.058
2.035
2.109
2.849
3.048
2.859
4.363
4.945
5.036
5.212
5.984
6.734
7.628
7.897
7.634
8.03
8.16
7.711
7.171
6.549
5.051
3.358
4.197
3.564
2.441
2.583
2.805
3.253
2.938
3.386
4.091
3.73
3.32
2.97
2.505
2.466
2.456
2.393
2.317
1.439
1.571
1.252
0.95
1.015
1.028
1.183
1.144
1.218
2.022
2.41
2.351
1.695
1.476
1.577
1.737
1.837
1.976
3.235
2.865
3.239
3.438
3.57
3.544
4.233
4.268
4.689
4.914
4.59
4.269
2.59
2.115
2.683
2.053
2.318
2.42
